Country,Coffee type,Year,Production,Continent,Year_clean
Zambia,Arabica,1998/99,3720000.0,Africa,1998
Cameroon,Robusta/Arabica,1998/99,66840000.0,Africa,1998
Central African Republic,Robusta,1998/99,12900000.0,Africa,1998
Colombia,Arabica,1998/99,652080000.0,South America,1998
Costa Rica,Arabica,1998/99,146700000.0,Central America,1998
Ivory Coast,Robusta,1998/99,119520000.0,Africa,1998
Congo,Robusta/Arabica,1998/99,44280000.0,Africa,1998
El Salvador,Arabica,1998/99,123300000.0,Central America,1998
Equatorial Guinea,Robusta,1998/99,60000.0,Africa,1998
Ethiopia,Arabica,1998/99,175680000.0,Africa,1998
Gabon,Robusta,1998/99,240000.0,Africa,1998
Ghana,Robusta,1998/99,3240000.0,Africa,1998
Guatemala,Arabica/Robusta,1998/99,293580000.0,Central America,1998
Guinea,Robusta,1998/99,25260000.0,Africa,1998
Guyana,Robusta,1998/99,360000.0,South America,1998
Honduras,Arabica,1998/99,131700000.0,Central America,1998
India,Robusta/Arabica,1998/99,265020000.0,Asia,1998
Jamaica,Arabica,1998/99,1740000.0,Central America,1998
Kenya,Arabica,1998/99,70380000.0,Africa,1998
Laos,Robusta,1998/99,10260000.0,Asia,1998
Liberia,Robusta,1998/99,1080000.0,Africa,1998
Mexico,Arabica/Robusta,1998/99,288060000.0,North America,1998
Nepal,Arabica,1998/99,0.0,Asia,1998
Nicaragua,Arabica,1998/99,64380000.0,Central America,1998
Nigeria,Robusta,1998/99,3180000.0,Africa,1998
Panama,Arabica,1998/99,11520000.0,Central America,1998
Sierra Leone,Robusta,1998/99,1620000.0,Africa,1998
Sri Lanka,Robusta/Arabica,1998/99,2760000.0,Asia,1998
Thailand,Robusta/Arabica,1998/99,54960000.0,Asia,1998
Togo,Robusta,1998/99,19260000.0,Africa,1998
Trinidad and Tobago,Robusta,1998/99,1020000.0,Central America,1998
Uganda,Robusta/Arabica,1998/99,203160000.0,Africa,1998
Venezuela,Arabica,1998/99,95820000.0,South America,1998
Vietnam,Robusta/Arabica,1998/99,423120000.0,Asia,1998
Yemen,Arabica,1998/99,4140000.0,Asia,1998
Angola,Robusta/Arabica,1999/00,3300000.0,Africa,1999
Bolivia,Arabica,1999/00,9480000.0,South America,1999
Brazil,Arabica/Robusta,1999/00,2854680000.0,South America,1999
Burundi,Arabica/Robusta,1999/00,21060000.0,Africa,1999
Ecuador,Arabica/Robusta,1999/00,71880000.0,South America,1999
Indonesia,Robusta/Arabica,1999/00,393420000.0,Asia,1999
Madagascar,Robusta,1999/00,25620000.0,Africa,1999
Malawi,Arabica,1999/00,3540000.0,Africa,1999
Papua New Guinea,Arabica/Robusta,1999/00,83220000.0,Oceania,1999
Paraguay,Arabica,1999/00,1140000.0,South America,1999
Peru,Arabica,1999/00,164640000.0,South America,1999
Rwanda,Arabica,1999/00,18420000.0,Africa,1999
East Timor,Arabica,1999/00,0.0,Asia,1999
Zimbabwe,Arabica,1999/00,7500000.0,Africa,1999
Congo,Robusta,1999/00,180000.0,Africa,1999
Cuba,Arabica,1999/00,19680000.0,Central America,1999
Dominican Republic,Arabica/Robusta,1999/00,36420000.0,Central America,1999
Haiti,Arabica,1999/00,23940000.0,Central America,1999
Philippines,Robusta/Arabica,1999/00,37320000.0,Asia,1999
Tanzania,Arabica/Robusta,1999/00,50520000.0,Africa,1999
Zambia,Arabica,1999/00,3540000.0,Africa,1999
Cameroon,Robusta/Arabica,1999/00,82200000.0,Africa,1999
Central African Republic,Robusta,1999/00,14460000.0,Africa,1999
Colombia,Arabica,1999/00,570720000.0,South America,1999
Costa Rica,Arabica,1999/00,149100000.0,Central America,1999
Ivory Coast,Robusta,1999/00,379200000.0,Africa,1999
Congo,Robusta/Arabica,1999/00,28620000.0,Africa,1999
El Salvador,Arabica,1999/00,155880000.0,Central America,1999
Equatorial Guinea,Robusta,1999/00,0.0,Africa,1999
Ethiopia,Arabica,1999/00,227040000.0,Africa,1999
Gabon,Robusta,1999/00,120000.0,Africa,1999
Ghana,Robusta,1999/00,5340000.0,Africa,1999
Guatemala,Arabica/Robusta,1999/00,307200000.0,Central America,1999
Guinea,Robusta,1999/00,21840000.0,Africa,1999
Guyana,Robusta,1999/00,300000.0,South America,1999
Honduras,Arabica,1999/00,179100000.0,Central America,1999
India,Robusta/Arabica,1999/00,292020000.0,Asia,1999
Jamaica,Arabica,1999/00,2280000.0,Central America,1999
Kenya,Arabica,1999/00,90120000.0,Africa,1999
Laos,Robusta,1999/00,14340000.0,Asia,1999
Liberia,Robusta,1999/00,720000.0,Africa,1999
Mexico,Arabica/Robusta,1999/00,373140000.0,North America,1999
Nepal,Arabica,1999/00,0.0,Asia,1999
Nicaragua,Arabica,1999/00,93240000.0,Central America,1999
Nigeria,Robusta,1999/00,2700000.0,Africa,1999
Panama,Arabica,1999/00,9960000.0,Central America,1999
Sierra Leone,Robusta,1999/00,3540000.0,Africa,1999
Sri Lanka,Robusta/Arabica,1999/00,1920000.0,Asia,1999
Thailand,Robusta/Arabica,1999/00,76380000.0,Asia,1999
Togo,Robusta,1999/00,15780000.0,Africa,1999
Trinidad and Tobago,Robusta,1999/00,1020000.0,Central America,1999
Uganda,Robusta/Arabica,1999/00,171720000.0,Africa,1999
Venezuela,Arabica,1999/00,82020000.0,South America,1999
Vietnam,Robusta/Arabica,1999/00,697860000.0,Asia,1999
Yemen,Arabica,1999/00,3660000.0,Asia,1999
Angola,Robusta/Arabica,2000/01,3000000.0,Africa,2000
Bolivia,Arabica,2000/01,8880000.0,South America,2000
Brazil,Arabica/Robusta,2000/01,1878600000.0,South America,2000
Burundi,Arabica/Robusta,2000/01,29220000.0,Africa,2000
Ecuador,Arabica/Robusta,2000/01,51240000.0,South America,2000
Indonesia,Robusta/Arabica,2000/01,419220000.0,Asia,2000
Madagascar,Robusta,2000/01,21720000.0,Africa,2000
Malawi,Arabica,2000/01,3780000.0,Africa,2000
Papua New Guinea,Arabica/Robusta,2000/01,62460000.0,Oceania,2000
Paraguay,Arabica,2000/01,1320000.0,South America,2000
Peru,Arabica,2000/01,160560000.0,South America,2000
Rwanda,Arabica,2000/01,16380000.0,Africa,2000
East Timor,Arabica,2000/01,420000.0,Asia,2000
Zimbabwe,Arabica,2000/01,6540000.0,Africa,2000
Congo,Robusta,2000/01,180000.0,Africa,2000
Cuba,Arabica,2000/01,18720000.0,Central America,2000
Dominican Republic,Arabica/Robusta,2000/01,28020000.0,Central America,2000
Haiti,Arabica,2000/01,25200000.0,Central America,2000
Philippines,Robusta/Arabica,2000/01,20460000.0,Asia,2000
Tanzania,Arabica/Robusta,2000/01,48540000.0,Africa,2000
Zambia,Arabica,2000/01,5580000.0,Africa,2000
Cameroon,Robusta/Arabica,2000/01,66780000.0,Africa,2000
Central African Republic,Robusta,2000/01,6780000.0,Africa,2000
Colombia,Arabica,2000/01,631140000.0,South America,2000
Costa Rica,Arabica,2000/01,145140000.0,Central America,2000
Ivory Coast,Robusta,2000/01,290760000.0,Africa,2000
Congo,Robusta/Arabica,2000/01,21780000.0,Africa,2000
El Salvador,Arabica,2000/01,102240000.0,Central America,2000
Equatorial Guinea,Robusta,2000/01,0.0,Africa,2000
Ethiopia,Arabica,2000/01,186900000.0,Africa,2000
Gabon,Robusta,2000/01,0.0,Africa,2000
Ghana,Robusta,2000/01,4560000.0,Africa,2000
Guatemala,Arabica/Robusta,2000/01,296400000.0,Central America,2000
Guinea,Robusta,2000/01,24000000.0,Africa,2000
Guyana,Robusta,2000/01,180000.0,South America,2000
Honduras,Arabica,2000/01,160020000.0,Central America,2000
India,Robusta/Arabica,2000/01,301200000.0,Asia,2000
Jamaica,Arabica,2000/01,2220000.0,Central America,2000
Kenya,Arabica,2000/01,60120000.0,Africa,2000
Laos,Robusta,2000/01,12720000.0,Asia,2000
Liberia,Robusta,2000/01,720000.0,Africa,2000
Mexico,Arabica/Robusta,2000/01,288900000.0,North America,2000
Nepal,Arabica,2000/01,0.0,Asia,2000
Nicaragua,Arabica,2000/01,94320000.0,Central America,2000
Nigeria,Robusta,2000/01,2940000.0,Africa,2000
Panama,Arabica,2000/01,10200000.0,Central America,2000
Sierra Leone,Robusta,2000/01,2940000.0,Africa,2000
Sri Lanka,Robusta/Arabica,2000/01,1980000.0,Asia,2000
Thailand,Robusta/Arabica,2000/01,101520000.0,Asia,2000
Togo,Robusta,2000/01,11820000.0,Africa,2000
Trinidad and Tobago,Robusta,2000/01,960000.0,Central America,2000
Uganda,Robusta/Arabica,2000/01,204060000.0,Africa,2000
Venezuela,Arabica,2000/01,87000000.0,South America,2000
Vietnam,Robusta/Arabica,2000/01,890460000.0,Asia,2000
Yemen,Arabica,2000/01,3840000.0,Asia,2000
Angola,Robusta/Arabica,2001/02,1260000.0,Africa,2001
Bolivia,Arabica,2001/02,5640000.0,South America,2001
Brazil,Arabica/Robusta,2001/02,1881900000.0,South America,2001
Burundi,Arabica/Robusta,2001/02,8640000.0,Africa,2001
Ecuador,Arabica/Robusta,2001/02,47580000.0,South America,2001
Indonesia,Robusta/Arabica,2001/02,409980000.0,Asia,2001
Madagascar,Robusta,2001/02,8820000.0,Africa,2001
Malawi,Arabica,2001/02,3600000.0,Africa,2001
Papua New Guinea,Arabica/Robusta,2001/02,63780000.0,Oceania,2001
Paraguay,Arabica,2001/02,1320000.0,South America,2001
Peru,Arabica,2001/02,169740000.0,South America,2001
Rwanda,Arabica,2001/02,17760000.0,Africa,2001
East Timor,Arabica,2001/02,1980000.0,Asia,2001
Zimbabwe,Arabica,2001/02,7260000.0,Africa,2001
Congo,Robusta,2001/02,180000.0,Africa,2001
Cuba,Arabica,2001/02,17100000.0,Central America,2001
Dominican Republic,Arabica/Robusta,2001/02,23220000.0,Central America,2001
Haiti,Arabica,2001/02,24180000.0,Central America,2001
Philippines,Robusta/Arabica,2001/02,15780000.0,Asia,2001
Tanzania,Arabica/Robusta,2001/02,37440000.0,Africa,2001
Zambia,Arabica,2001/02,6000000.0,Africa,2001
Cameroon,Robusta/Arabica,2001/02,41160000.0,Africa,2001
Central African Republic,Robusta,2001/02,4080000.0,Africa,2001
Colombia,Arabica,2001/02,717000000.0,South America,2001
Costa Rica,Arabica,2001/02,134820000.0,Central America,2001
Ivory Coast,Robusta,2001/02,215760000.0,Africa,2001
Congo,Robusta/Arabica,2001/02,25380000.0,Africa,2001
El Salvador,Arabica,2001/02,101640000.0,Central America,2001
Equatorial Guinea,Robusta,2001/02,0.0,Africa,2001
Ethiopia,Arabica,2001/02,242640000.0,Africa,2001
Gabon,Robusta,2001/02,60000.0,Africa,2001
Ghana,Robusta,2001/02,420000.0,Africa,2001
Guatemala,Arabica/Robusta,2001/02,220140000.0,Central America,2001
Guinea,Robusta,2001/02,14160000.0,Africa,2001
Guyana,Robusta,2001/02,300000.0,South America,2001
Honduras,Arabica,2001/02,182160000.0,Central America,2001
India,Robusta/Arabica,2001/02,288600000.0,Asia,2001
Jamaica,Arabica,2001/02,1860000.0,Central America,2001
Kenya,Arabica,2001/02,59460000.0,Africa,2001
Laos,Robusta,2001/02,15480000.0,Asia,2001
Liberia,Robusta,2001/02,720000.0,Africa,2001
Mexico,Arabica/Robusta,2001/02,266280000.0,North America,2001
Nepal,Arabica,2001/02,0.0,Asia,2001
Nicaragua,Arabica,2001/02,64740000.0,Central America,2001
Nigeria,Robusta,2001/02,2640000.0,Africa,2001
Panama,Arabica,2001/02,9600000.0,Central America,2001
Sierra Leone,Robusta,2001/02,4740000.0,Africa,2001
Sri Lanka,Robusta/Arabica,2001/02,1920000.0,Asia,2001
Thailand,Robusta/Arabica,2001/02,42840000.0,Asia,2001
Togo,Robusta,2001/02,6720000.0,Africa,2001
Trinidad and Tobago,Robusta,2001/02,960000.0,Central America,2001
Uganda,Robusta/Arabica,2001/02,189480000.0,Africa,2001
Venezuela,Arabica,2001/02,75900000.0,South America,2001
Vietnam,Robusta/Arabica,2001/02,785580000.0,Asia,2001
Yemen,Arabica,2001/02,3720000.0,Asia,2001
Angola,Robusta/Arabica,2002/03,3420000.0,Africa,2002
Bolivia,Arabica,2002/03,7620000.0,South America,2002
Brazil,Arabica/Robusta,2002/03,2901120000.0,South America,2002
Burundi,Arabica/Robusta,2002/03,27240000.0,Africa,2002
Ecuador,Arabica/Robusta,2002/03,34920000.0,South America,2002
Indonesia,Robusta/Arabica,2002/03,403860000.0,Asia,2002
Madagascar,Robusta,2002/03,26700000.0,Africa,2002
Malawi,Arabica,2002/03,2520000.0,Africa,2002
Papua New Guinea,Arabica/Robusta,2002/03,65100000.0,Oceania,2002
Paraguay,Arabica,2002/03,2160000.0,South America,2002
Peru,Arabica,2002/03,180000000.0,South America,2002
Rwanda,Arabica,2002/03,19200000.0,Africa,2002
East Timor,Arabica,2002/03,2220000.0,Asia,2002
Zimbabwe,Arabica,2002/03,6600000.0,Africa,2002
Congo,Robusta,2002/03,180000.0,Africa,2002
Cuba,Arabica,2002/03,14340000.0,Central America,2002
Dominican Republic,Arabica/Robusta,2002/03,27300000.0,Central America,2002
Haiti,Arabica,2002/03,22440000.0,Central America,2002
Philippines,Robusta/Arabica,2002/03,15300000.0,Asia,2002
Tanzania,Arabica/Robusta,2002/03,49440000.0,Africa,2002
Zambia,Arabica,2002/03,7140000.0,Africa,2002
Cameroon,Robusta/Arabica,2002/03,48060000.0,Africa,2002
Central African Republic,Robusta,2002/03,5520000.0,Africa,2002
Colombia,Arabica,2002/03,702720000.0,South America,2002
Costa Rica,Arabica,2002/03,122580000.0,Central America,2002
Ivory Coast,Robusta,2002/03,180600000.0,Africa,2002
Congo,Robusta/Arabica,2002/03,20280000.0,Africa,2002
El Salvador,Arabica,2002/03,81660000.0,Central America,2002
Equatorial Guinea,Robusta,2002/03,0.0,Africa,2002
Ethiopia,Arabica,2002/03,245640000.0,Africa,2002
Gabon,Robusta,2002/03,60000.0,Africa,2002
Ghana,Robusta,2002/03,2040000.0,Africa,2002
Guatemala,Arabica/Robusta,2002/03,244200000.0,Central America,2002
Guinea,Robusta,2002/03,19680000.0,Africa,2002
Guyana,Robusta,2002/03,300000.0,South America,2002
Honduras,Arabica,2002/03,149760000.0,Central America,2002
India,Robusta/Arabica,2002/03,275280000.0,Asia,2002
Jamaica,Arabica,2002/03,2220000.0,Central America,2002
Kenya,Arabica,2002/03,56700000.0,Africa,2002
Laos,Robusta,2002/03,24120000.0,Asia,2002
Liberia,Robusta,2002/03,720000.0,Africa,2002
Mexico,Arabica/Robusta,2002/03,261060000.0,North America,2002
Nepal,Arabica,2002/03,0.0,Asia,2002
Nicaragua,Arabica,2002/03,70200000.0,Central America,2002
Nigeria,Robusta,2002/03,3000000.0,Africa,2002
Panama,Arabica,2002/03,8400000.0,Central America,2002
Sierra Leone,Robusta,2002/03,2520000.0,Africa,2002
Sri Lanka,Robusta/Arabica,2002/03,2040000.0,Asia,2002
Thailand,Robusta/Arabica,2002/03,43920000.0,Asia,2002
Togo,Robusta,2002/03,4080000.0,Africa,2002
Trinidad and Tobago,Robusta,2002/03,1020000.0,Central America,2002
Uganda,Robusta/Arabica,2002/03,173400000.0,Africa,2002
Venezuela,Arabica,2002/03,89040000.0,South America,2002
Vietnam,Robusta/Arabica,2002/03,694440000.0,Asia,2002
Yemen,Arabica,2002/03,3420000.0,Asia,2002
Angola,Robusta/Arabica,2003/04,2280000.0,Africa,2003
Bolivia,Arabica,2003/04,6180000.0,South America,2003
Brazil,Arabica/Robusta,2003/04,1732380000.0,South America,2003
Burundi,Arabica/Robusta,2003/04,20280000.0,Africa,2003
Ecuador,Arabica/Robusta,2003/04,38460000.0,South America,2003
Indonesia,Robusta/Arabica,2003/04,384240000.0,Asia,2003
Madagascar,Robusta,2003/04,26100000.0,Africa,2003
Malawi,Arabica,2003/04,2880000.0,Africa,2003
Papua New Guinea,Arabica/Robusta,2003/04,69300000.0,Oceania,2003
Paraguay,Arabica,2003/04,2820000.0,South America,2003
Peru,Arabica,2003/04,161160000.0,South America,2003
Rwanda,Arabica,2003/04,15960000.0,Africa,2003
East Timor,Arabica,2003/04,2520000.0,Asia,2003
Zimbabwe,Arabica,2003/04,5520000.0,Africa,2003
Congo,Robusta,2003/04,180000.0,Africa,2003
Cuba,Arabica,2003/04,13440000.0,Central America,2003
Dominican Republic,Arabica/Robusta,2003/04,21060000.0,Central America,2003
Haiti,Arabica,2003/04,22440000.0,Central America,2003
Philippines,Robusta/Arabica,2003/04,17580000.0,Asia,2003
Tanzania,Arabica/Robusta,2003/04,36720000.0,Africa,2003
Zambia,Arabica,2003/04,6000000.0,Africa,2003
Cameroon,Robusta/Arabica,2003/04,54000000.0,Africa,2003
Central African Republic,Robusta,2003/04,2580000.0,Africa,2003
Colombia,Arabica,2003/04,663180000.0,South America,2003
Costa Rica,Arabica,2003/04,113160000.0,Central America,2003
Ivory Coast,Robusta,2003/04,178860000.0,Africa,2003
Congo,Robusta/Arabica,2003/04,27060000.0,Africa,2003
El Salvador,Arabica,2003/04,82800000.0,Central America,2003
Equatorial Guinea,Robusta,2003/04,0.0,Africa,2003
Ethiopia,Arabica,2003/04,263640000.0,Africa,2003
Gabon,Robusta,2003/04,0.0,Africa,2003
Ghana,Robusta,2003/04,1080000.0,Africa,2003
Guatemala,Arabica/Robusta,2003/04,216600000.0,Central America,2003
Guinea,Robusta,2003/04,21960000.0,Africa,2003
Guyana,Robusta,2003/04,300000.0,South America,2003
Honduras,Arabica,2003/04,178080000.0,Central America,2003
India,Robusta/Arabica,2003/04,282480000.0,Asia,2003
Jamaica,Arabica,2003/04,2220000.0,Central America,2003
Kenya,Arabica,2003/04,40380000.0,Africa,2003
Laos,Robusta,2003/04,21660000.0,Asia,2003
Liberia,Robusta,2003/04,300000.0,Africa,2003
Mexico,Arabica/Robusta,2003/04,252060000.0,North America,2003
Nepal,Arabica,2003/04,60000.0,Asia,2003
Nicaragua,Arabica,2003/04,90540000.0,Central America,2003
Nigeria,Robusta,2003/04,2760000.0,Africa,2003
Panama,Arabica,2003/04,10320000.0,Central America,2003
Sierra Leone,Robusta,2003/04,2160000.0,Africa,2003
Sri Lanka,Robusta/Arabica,2003/04,2220000.0,Asia,2003
Thailand,Robusta/Arabica,2003/04,49620000.0,Asia,2003
Togo,Robusta,2003/04,8640000.0,Africa,2003
Trinidad and Tobago,Robusta,2003/04,960000.0,Central America,2003
Uganda,Robusta/Arabica,2003/04,155940000.0,Africa,2003
Venezuela,Arabica,2003/04,85260000.0,South America,2003
Vietnam,Robusta/Arabica,2003/04,920220000.0,Asia,2003
Yemen,Arabica,2003/04,11580000.0,Asia,2003
Angola,Robusta/Arabica,2004/05,900000.0,Africa,2004
Bolivia,Arabica,2004/05,9300000.0,South America,2004
Brazil,Arabica/Robusta,2004/05,2356860000.0,South America,2004
Burundi,Arabica/Robusta,2004/05,26220000.0,Africa,2004
Ecuador,Arabica/Robusta,2004/05,46800000.0,South America,2004
Indonesia,Robusta/Arabica,2004/05,452160000.0,Asia,2004
Madagascar,Robusta,2004/05,31320000.0,Africa,2004
Malawi,Arabica,2004/05,1260000.0,Africa,2004
Papua New Guinea,Arabica/Robusta,2004/05,59880000.0,Oceania,2004
Paraguay,Arabica,2004/05,2280000.0,South America,2004
Peru,Arabica,2004/05,205500000.0,South America,2004
Rwanda,Arabica,2004/05,27000000.0,Africa,2004
East Timor,Arabica,2004/05,1020000.0,Asia,2004
Zimbabwe,Arabica,2004/05,7200000.0,Africa,2004
Congo,Robusta,2004/05,180000.0,Africa,2004
Cuba,Arabica,2004/05,10800000.0,Central America,2004
Dominican Republic,Arabica/Robusta,2004/05,29460000.0,Central America,2004
Haiti,Arabica,2004/05,21900000.0,Central America,2004
Philippines,Robusta/Arabica,2004/05,21300000.0,Asia,2004
Tanzania,Arabica/Robusta,2004/05,45780000.0,Africa,2004
Zambia,Arabica,2004/05,6600000.0,Africa,2004
Cameroon,Robusta/Arabica,2004/05,43620000.0,Africa,2004
Central African Republic,Robusta,2004/05,1740000.0,Africa,2004
Colombia,Arabica,2004/05,685740000.0,South America,2004
Costa Rica,Arabica,2004/05,112560000.0,Central America,2004
Ivory Coast,Robusta,2004/05,128160000.0,Africa,2004
Congo,Robusta/Arabica,2004/05,21600000.0,Africa,2004
El Salvador,Arabica,2004/05,71820000.0,Central America,2004
Equatorial Guinea,Robusta,2004/05,0.0,Africa,2004
Ethiopia,Arabica,2004/05,312780000.0,Africa,2004
Gabon,Robusta,2004/05,0.0,Africa,2004
Ghana,Robusta,2004/05,1080000.0,Africa,2004
Guatemala,Arabica/Robusta,2004/05,222180000.0,Central America,2004
Guinea,Robusta,2004/05,18960000.0,Africa,2004
Guyana,Robusta,2004/05,360000.0,South America,2004
Honduras,Arabica,2004/05,154500000.0,Central America,2004
India,Robusta/Arabica,2004/05,275460000.0,Asia,2004
Jamaica,Arabica,2004/05,1260000.0,Central America,2004
Kenya,Arabica,2004/05,44160000.0,Africa,2004
Laos,Robusta,2004/05,22740000.0,Asia,2004
Liberia,Robusta,2004/05,360000.0,Africa,2004
Mexico,Arabica/Robusta,2004/05,232020000.0,North America,2004
Nepal,Arabica,2004/05,60000.0,Asia,2004
Nicaragua,Arabica,2004/05,64080000.0,Central America,2004
Nigeria,Robusta,2004/05,2700000.0,Africa,2004
Panama,Arabica,2004/05,5400000.0,Central America,2004
Sierra Leone,Robusta,2004/05,900000.0,Africa,2004
Sri Lanka,Robusta/Arabica,2004/05,1920000.0,Asia,2004
Thailand,Robusta/Arabica,2004/05,53040000.0,Asia,2004
Togo,Robusta,2004/05,9960000.0,Africa,2004
Trinidad and Tobago,Robusta,2004/05,900000.0,Central America,2004
Uganda,Robusta/Arabica,2004/05,156780000.0,Africa,2004
Venezuela,Arabica,2004/05,79620000.0,South America,2004
Vietnam,Robusta/Arabica,2004/05,862200000.0,Asia,2004
Yemen,Arabica,2004/05,12360000.0,Asia,2004
Angola,Robusta/Arabica,2005/06,1500000.0,Africa,2005
Bolivia,Arabica,2005/06,6600000.0,South America,2005
Brazil,Arabica/Robusta,2005/06,1975980000.0,South America,2005
Burundi,Arabica/Robusta,2005/06,6180000.0,Africa,2005
Ecuador,Arabica/Robusta,2005/06,56100000.0,South America,2005
Indonesia,Robusta/Arabica,2005/06,549540000.0,Asia,2005
Madagascar,Robusta,2005/06,35940000.0,Africa,2005
Malawi,Arabica,2005/06,1440000.0,Africa,2005
Papua New Guinea,Arabica/Robusta,2005/06,76080000.0,Oceania,2005
Paraguay,Arabica,2005/06,2640000.0,South America,2005
Peru,Arabica,2005/06,149340000.0,South America,2005
Rwanda,Arabica,2005/06,20220000.0,Africa,2005
East Timor,Arabica,2005/06,1440000.0,Asia,2005
Zimbabwe,Arabica,2005/06,3960000.0,Africa,2005
Congo,Robusta,2005/06,180000.0,Africa,2005
Cuba,Arabica,2005/06,6000000.0,Central America,2005
Dominican Republic,Arabica/Robusta,2005/06,18600000.0,Central America,2005
Haiti,Arabica,2005/06,21360000.0,Central America,2005
Philippines,Robusta/Arabica,2005/06,25920000.0,Asia,2005
Tanzania,Arabica/Robusta,2005/06,48240000.0,Africa,2005
Zambia,Arabica,2005/06,6180000.0,Africa,2005
Cameroon,Robusta/Arabica,2005/06,52200000.0,Africa,2005
Central African Republic,Robusta,2005/06,1380000.0,Africa,2005
Colombia,Arabica,2005/06,717120000.0,South America,2005
Costa Rica,Arabica,2005/06,99180000.0,Central America,2005
Ivory Coast,Robusta,2005/06,125940000.0,Africa,2005
Congo,Robusta/Arabica,2005/06,20160000.0,Africa,2005
El Salvador,Arabica,2005/06,79140000.0,Central America,2005
Equatorial Guinea,Robusta,2005/06,0.0,Africa,2005
Ethiopia,Arabica,2005/06,286740000.0,Africa,2005
Gabon,Robusta,2005/06,60000.0,Africa,2005
Ghana,Robusta,2005/06,720000.0,Africa,2005
Guatemala,Arabica/Robusta,2005/06,220560000.0,Central America,2005
Guinea,Robusta,2005/06,31500000.0,Africa,2005
Guyana,Robusta,2005/06,420000.0,South America,2005
Honduras,Arabica,2005/06,192240000.0,Central America,2005
India,Robusta/Arabica,2005/06,273960000.0,Asia,2005
Jamaica,Arabica,2005/06,2040000.0,Central America,2005
Kenya,Arabica,2005/06,39600000.0,Africa,2005
Laos,Robusta,2005/06,16800000.0,Asia,2005
Liberia,Robusta,2005/06,300000.0,Africa,2005
Mexico,Arabica/Robusta,2005/06,253500000.0,North America,2005
Nepal,Arabica,2005/06,60000.0,Asia,2005
Nicaragua,Arabica,2005/06,85920000.0,Central America,2005
Nigeria,Robusta,2005/06,4140000.0,Africa,2005
Panama,Arabica,2005/06,10560000.0,Central America,2005
Sierra Leone,Robusta,2005/06,3600000.0,Africa,2005
Sri Lanka,Robusta/Arabica,2005/06,2100000.0,Asia,2005
Thailand,Robusta/Arabica,2005/06,63840000.0,Asia,2005
Togo,Robusta,2005/06,8400000.0,Africa,2005
Trinidad and Tobago,Robusta,2005/06,900000.0,Central America,2005
Uganda,Robusta/Arabica,2005/06,130500000.0,Africa,2005
Venezuela,Arabica,2005/06,90360000.0,South America,2005
Vietnam,Robusta/Arabica,2005/06,830520000.0,Asia,2005
Yemen,Arabica,2005/06,12180000.0,Asia,2005
Angola,Robusta/Arabica,2006/07,2100000.0,Africa,2006
Bolivia,Arabica,2006/07,8760000.0,South America,2006
Brazil,Arabica/Robusta,2006/07,2905920000.0,South America,2006
Burundi,Arabica/Robusta,2006/07,29880000.0,Africa,2006
Ecuador,Arabica/Robusta,2006/07,62100000.0,South America,2006
Indonesia,Robusta/Arabica,2006/07,448980000.0,Asia,2006
Madagascar,Robusta,2006/07,35220000.0,Africa,2006
Malawi,Arabica,2006/07,1020000.0,Africa,2006
Papua New Guinea,Arabica/Robusta,2006/07,48420000.0,Oceania,2006
Paraguay,Arabica,2006/07,2100000.0,South America,2006
Peru,Arabica,2006/07,259140000.0,South America,2006
Rwanda,Arabica,2006/07,21060000.0,Africa,2006
East Timor,Arabica,2006/07,2760000.0,Asia,2006
Zimbabwe,Arabica,2006/07,2700000.0,Africa,2006
Congo,Robusta,2006/07,180000.0,Africa,2006
Cuba,Arabica,2006/07,6300000.0,Central America,2006
Dominican Republic,Arabica/Robusta,2006/07,23220000.0,Central America,2006
Haiti,Arabica,2006/07,21720000.0,Central America,2006
Philippines,Robusta/Arabica,2006/07,26460000.0,Asia,2006
Tanzania,Arabica/Robusta,2006/07,49320000.0,Africa,2006
Zambia,Arabica,2006/07,3360000.0,Africa,2006
Cameroon,Robusta/Arabica,2006/07,49080000.0,Africa,2006
Central African Republic,Robusta,2006/07,6840000.0,Africa,2006
Colombia,Arabica,2006/07,729840000.0,South America,2006
Costa Rica,Arabica,2006/07,102360000.0,Central America,2006
Ivory Coast,Robusta,2006/07,170880000.0,Africa,2006
Congo,Robusta/Arabica,2006/07,22680000.0,Africa,2006
El Salvador,Arabica,2006/07,74040000.0,Central America,2006
Equatorial Guinea,Robusta,2006/07,0.0,Africa,2006
Ethiopia,Arabica,2006/07,333060000.0,Africa,2006
Gabon,Robusta,2006/07,60000.0,Africa,2006
Ghana,Robusta,2006/07,1200000.0,Africa,2006
Guatemala,Arabica/Robusta,2006/07,237000000.0,Central America,2006
Guinea,Robusta,2006/07,28380000.0,Africa,2006
Guyana,Robusta,2006/07,480000.0,South America,2006
Honduras,Arabica,2006/07,207660000.0,Central America,2006
India,Robusta/Arabica,2006/07,270000000.0,Asia,2006
Jamaica,Arabica,2006/07,2400000.0,Central America,2006
Kenya,Arabica,2006/07,49560000.0,Africa,2006
Laos,Robusta,2006/07,23460000.0,Asia,2006
Liberia,Robusta,2006/07,420000.0,Africa,2006
Mexico,Arabica/Robusta,2006/07,252000000.0,North America,2006
Nepal,Arabica,2006/07,120000.0,Asia,2006
Nicaragua,Arabica,2006/07,85680000.0,Central America,2006
