Country,Year,Re_Exported,Continent
Slovenia,2018,19920000,Europe
Spain,2018,155100000,Europe
Sweden,2018,34740000,Europe
Japan,2018,7440000,Asia
Norway,2018,540000,Europe
Russian Federation,2018,63240000,Asia
Switzerland,2018,116760000,Europe
Tunisia,2018,0,Africa
United Kingdom,2018,113340000,Europe
US,2018,174120000,North America
Austria,2019,16440000,Europe
Belgium,2019,300840000,Europe
Luxembourg,2019,0,Europe
Bulgaria,2019,21720000,Europe
Croatia,2019,5160000,Europe
Cyprus,2019,1380000,Europe
CZ,2019,45960000,Europe
Denmark,2019,7800000,Europe
Estonia,2019,1500000,Europe
Finland,2019,10080000,Europe
France,2019,108720000,Europe
Germany,2019,828060000,Europe
Greece,2019,6420000,Europe
Hungary,2019,21300000,Europe
Ireland,2019,4140000,Europe
Italy,2019,326280000,Europe
Latvia,2019,7260000,Europe
Lithuania,2019,13320000,Europe
Luxembourg,2019,10740000,Europe
Malta,2019,0,Europe
Netherlands,2019,199440000,Europe
Poland,2019,117120000,Europe
Portugal,2019,17340000,Europe
Romania,2019,3420000,Europe
Slovakia,2019,32820000,Europe
Slovenia,2019,24900000,Europe
Spain,2019,166560000,Europe
Sweden,2019,34740000,Europe
Japan,2019,9480000,Asia
Norway,2019,900000,Europe
Russian Federation,2019,65820000,Asia
Switzerland,2019,126840000,Europe
Tunisia,2019,0,Africa
United Kingdom,2019,106800000,Europe
US,2019,170520000,North America
