Country,Year,Imported,Continent
Denmark,2019,54480000,Europe
Estonia,2019,8880000,Europe
Finland,2019,90900000,Europe
France,2019,479580000,Europe
Germany,2019,1345920000,Europe
Greece,2019,74760000,Europe
Hungary,2019,46380000,Europe
Ireland,2019,26280000,Europe
Italy,2019,654840000,Europe
Latvia,2019,14100000,Europe
Lithuania,2019,28440000,Europe
Luxembourg,2019,24120000,Europe
Malta,2019,1380000,Europe
Netherlands,2019,321240000,Europe
Poland,2019,267120000,Europe
Portugal,2019,73200000,Europe
Romania,2019,69900000,Europe
Slovakia,2019,46380000,Europe
Slovenia,2019,37200000,Europe
Spain,2019,359040000,Europe
Sweden,2019,140880000,Europe
Japan,2019,482400000,Asia
Norway,2019,47160000,Europe
Russian Federation,2019,355020000,Asia
Switzerland,2019,193680000,Europe
Tunisia,2019,30480000,Africa
United Kingdom,2019,333240000,Europe
US,2019,1851240000,North America
